Verified,Cellular Component,mitochond,,,,
Dubious,membrane,,endoplasm,nucle,cytosol,ribosomal
Uncharacterized,,membrane,cytoplasm,mitochond,membrane,
NA,cellular_component,cytoplasm,mitochond,endoplasm,mitochond,
Verified|silenced_gene,mitochond,endoplasm,cytosol,ribosomal,ribosomal,
status,nucle,nucle,nucle,cytosol,,
,endoplasm,cytosol,ribosomal,membrane,,
,cytoplasm,ribosomal,membrane,,,
,extracellular,nucleolus,nucleolus,,,
,cytosol,organelle,cellular_component,,,
,ribosomal,,organelle,,,
,nucleolus,,,,,
,organelle,,,,,
