Verified,Molecular Function,,,,
Dubious,molecular_function,transporter,histone,ATP,RNA polymerase
Uncharacterized,transmembrane,histone,tRNA,histone,
NA,kinase,kinase,ATP,transcription,
Verified|silenced_gene,RNA polymerase,ATP,transcription,RNA polymerase,
status,,transcription,kinase,transporter,
,damage,RNA polymerase,RNA polymerase,,
,transcription,dehydrogenase,NADH,,
,receptor,tRNA,transporter,,
,exonuclease activity,rRNA binding,molecular_function,,
,dehydrogenase,exonuclease activity,dehydrogenase,,
,ATP,transmembrane,receptor,,
,transporter,molecular_function,transmembrane,,
,peptidase,hydrolase,rRNA binding,,
,NADH,snRNA binding,,,
,ADP,NADH,,,
,histone,ADP,,,
,tRNA,NAD+,,,
,NAD+,peptide binding,,,
,snRNA binding,receptor,,,
,hydrolase,peptidase,,,
,rRNA binding,,,,
,calcium channel,,,,
,drug binding,,,,
,peptide binding,,,,
