,gene,validation,Biological_process,Cellular_component,Molecular_function
0,YAL008W,Verified,ion,membrane,molecular_function
1,YAL008W,Verified,ion,membrane,null
2,YAL008W,Verified,ion,mitochond,molecular_function
3,YAL008W,Verified,ion,mitochond,null
4,YAL008W,Verified,ion,null,molecular_function
5,YAL008W,Verified,ion,null,null
6,YAL008W,Verified,null,membrane,molecular_function
7,YAL008W,Verified,null,membrane,null
8,YAL008W,Verified,null,mitochond,molecular_function
9,YAL008W,Verified,null,mitochond,null
10,YAL008W,Verified,null,null,molecular_function
11,YAL008W,Verified,null,null,null
12,YBR255W,Verified,biological_process,null,molecular_function
13,YBR255W,Verified,biological_process,null,null
14,YBR255W,Verified,null,null,molecular_function
15,YBR255W,Verified,null,null,null
16,YGR164W,Dubious,biological_process,cellular_component,molecular_function
17,YGR164W,Dubious,biological_process,cellular_component,null
18,YGR164W,Dubious,biological_process,null,molecular_function
19,YGR164W,Dubious,biological_process,null,null
20,YGR164W,Dubious,null,cellular_component,molecular_function
21,YGR164W,Dubious,null,cellular_component,null
22,YGR164W,Dubious,null,null,molecular_function
23,YGR164W,Dubious,null,null,null
24,YGR131W,Verified,protein,membrane,molecular_function
25,YGR131W,Verified,protein,membrane,null
26,YGR131W,Verified,protein,null,molecular_function
27,YGR131W,Verified,protein,null,null
28,YGR131W,Verified,ion,membrane,molecular_function
29,YGR131W,Verified,ion,membrane,null
30,YGR131W,Verified,ion,null,molecular_function
31,YGR131W,Verified,ion,null,null
32,YGR131W,Verified,null,membrane,molecular_function
33,YGR131W,Verified,null,membrane,null
34,YGR131W,Verified,null,null,molecular_function
35,YGR131W,Verified,null,null,null
36,YNL003C,Verified,transport,mitochond,transmembrane
37,YNL003C,Verified,transport,mitochond,transporter
38,YNL003C,Verified,transport,mitochond,null
39,YNL003C,Verified,transport,membrane,transmembrane
40,YNL003C,Verified,transport,membrane,transporter
41,YNL003C,Verified,transport,membrane,null
42,YNL003C,Verified,transport,null,transmembrane
43,YNL003C,Verified,transport,null,transporter
44,YNL003C,Verified,transport,null,null
45,YNL003C,Verified,ion,mitochond,transmembrane
46,YNL003C,Verified,ion,mitochond,transporter
47,YNL003C,Verified,ion,mitochond,null
48,YNL003C,Verified,ion,membrane,transmembrane
49,YNL003C,Verified,ion,membrane,transporter
50,YNL003C,Verified,ion,membrane,null
51,YNL003C,Verified,ion,null,transmembrane
52,YNL003C,Verified,ion,null,transporter
53,YNL003C,Verified,ion,null,null
54,YNL003C,Verified,null,mitochond,transmembrane
55,YNL003C,Verified,null,mitochond,transporter
56,YNL003C,Verified,null,mitochond,null
57,YNL003C,Verified,null,membrane,transmembrane
58,YNL003C,Verified,null,membrane,transporter
59,YNL003C,Verified,null,membrane,null
60,YNL003C,Verified,null,null,transmembrane
61,YNL003C,Verified,null,null,transporter
62,YNL003C,Verified,null,null,null
63,YBR135W,Verified,regulation,null,kinase
64,YBR135W,Verified,regulation,null,histone
65,YBR135W,Verified,regulation,null,null
66,YBR135W,Verified,ion,null,kinase
67,YBR135W,Verified,ion,null,histone
68,YBR135W,Verified,ion,null,null
69,YBR135W,Verified,positive,null,kinase
70,YBR135W,Verified,positive,null,histone
71,YBR135W,Verified,positive,null,null
72,YBR135W,Verified,null,null,kinase
73,YBR135W,Verified,null,null,histone
74,YBR135W,Verified,null,null,null
75,YBR160W,Verified,negative,nucle,RNA polymerase
76,YBR160W,Verified,negative,nucle,kinase
77,YBR160W,Verified,negative,nucle,histone
78,YBR160W,Verified,negative,nucle,null
79,YBR160W,Verified,negative,cytoplasm,RNA polymerase
80,YBR160W,Verified,negative,cytoplasm,kinase
81,YBR160W,Verified,negative,cytoplasm,histone
82,YBR160W,Verified,negative,cytoplasm,null
83,YBR160W,Verified,negative,endoplasm,RNA polymerase
84,YBR160W,Verified,negative,endoplasm,kinase
85,YBR160W,Verified,negative,endoplasm,histone
86,YBR160W,Verified,negative,endoplasm,null
87,YBR160W,Verified,negative,null,RNA polymerase
88,YBR160W,Verified,negative,null,kinase
89,YBR160W,Verified,negative,null,histone
90,YBR160W,Verified,negative,null,null
91,YBR160W,Verified,regulation,nucle,RNA polymerase
92,YBR160W,Verified,regulation,nucle,kinase
93,YBR160W,Verified,regulation,nucle,histone
94,YBR160W,Verified,regulation,nucle,null
95,YBR160W,Verified,regulation,cytoplasm,RNA polymerase
96,YBR160W,Verified,regulation,cytoplasm,kinase
97,YBR160W,Verified,regulation,cytoplasm,histone
98,YBR160W,Verified,regulation,cytoplasm,null
99,YBR160W,Verified,regulation,endoplasm,RNA polymerase
