,gene,validation,localization
0,YAL008W,Verified,ion
1,YBR255W,Verified,biological_process
2,YGR164W,Dubious,biological_process
3,YGR131W,Verified,protein
4,YNL003C,Verified,transport
5,YBR135W,Verified,regulation
6,YBR160W,Verified,negative
7,YJL082W,Verified,protein
8,YJL142C,Dubious,ion
9,YPL191C,Verified,biological_process
10,YGL215W,Verified,positive
11,YKL074C,Verified,ion
12,YJL077C,Verified,copper
13,YIL124W,Verified,catabolic process
14,YPL039W,Uncharacterized,biological_process
15,YNL170W,Dubious,biological_process
16,YGL141W,Verified,protein
17,YJL179W,Verified,protein
18,YKL083W,Dubious,biological_process
19,YOR009W,Verified,biological_process
20,YKL029C,Verified,metabolic process
21,YPL166W,Verified,null
22,YKL052C,Verified,positive
23,YHR025W,Verified,metabolic process
24,YOL034W,Verified,repair
25,YBL008W,Verified,negative
26,YIL062C,Verified,ion
27,YCL023C,Dubious,biological_process
28,YOL116W,Verified,positive
29,YDR196C,Verified,null
30,YNL255C,Verified,positive
31,YNR032W,Verified,metabolic process
32,YNR045W,Verified,positive
33,YML105C,Verified,protein
34,YNL288W,Verified,regulation
35,YIL059C,Dubious,biological_process
36,YIL004C,Verified,transport
37,YNR018W,Verified,null
38,YPL144W,Verified,protein
39,YFR047C,Verified,null
40,YHR078W,Uncharacterized,biological_process
41,YJR115W,Uncharacterized,biological_process
42,YLR355C,Verified,null
43,YGR099W,Verified,protein
44,YLR300W,Verified,metabolic process
45,YBL003C,Verified,repair
46,YJR140C,Verified,ion
47,YOR033C,Verified,repair
48,YOR062C,Uncharacterized,biological_process
49,YBR043C,Verified,transport
50,YHR112C,Verified,metabolic process
51,YLR011W,Verified,ion
52,YHR007C,Uncharacterized,null
53,YKR103W,Verified,null
54,YKR084C,Verified,positive
55,YER121W,Uncharacterized,biological_process
56,YCR046C,Verified,ion
57,YNL144C,Uncharacterized,biological_process
58,YKL204W,Verified,ion
59,YOR266W,Verified,protein
60,YDR393W,Verified,ion
61,YGL171W,Verified,ion
62,YPR194C,Verified,transport
63,YGR019W,Verified,catabolic process
64,YNL208W,Verified,biological_process
65,YJL188C,Dubious,null
66,YLL057C,Verified,catabolic process
67,YBR296C,Uncharacterized,transport
68,YNL277W,Verified,metabolic process
69,YMR040W,Verified,biological_process
70,YDR077W,Verified,ion
71,YMR266W,Verified,transport
72,YKR064W,Verified,negative
73,YPL089C,Verified,ion
74,YGR277C,Verified,null
75,YDL139C,Verified,ion
76,YDR246W,Uncharacterized,transport
77,YOR288C,Verified,protein
78,YCR028C,Verified,transport
79,YML054C,Uncharacterized,metabolic process
80,YLR179C,Verified,biological_process
81,YOR141C,Verified,repair
82,YPL280W,Verified,null
83,YBL106C,Verified,transport
84,YGL044C,Verified,ion
85,YER107C,Verified,ion
86,YBR038W,Verified,ion
87,YGR259C,Dubious,biological_process
88,YEL047C,Verified,null
89,YPR016C,Verified,ion
90,YLR157C,Uncharacterized,catabolic process
91,YDL055C,Verified,protein
92,YML009C,Verified,ion
93,YML072C,Verified,regulation
94,YDR142C,Verified,protein
95,YFL044C,Verified,regulation
96,YKL019W,Verified,ion
97,YJL130C,Verified,metabolic process
98,YBL085W,Verified,ion
99,YBR116C,Dubious,biological_process
100,YDR166C,Verified,transport
101,YDR082W,Verified,negative
102,YDR348C,Verified,null
103,YKL182W,Verified,null
104,YDR333C,Verified,protein
105,YPL027W,Verified,null
106,YIR012W,Verified,null
107,YLR363C,Verified,catabolic process
108,YDR179C,Verified,ion
109,YML089C,Dubious,biological_process
110,YLR431C,Verified,positive
111,YKR046C,Verified,ion
112,YJR005W,Verified,null
113,YJL116C,Verified,ion
114,YER030W,Verified,null
115,YHR041C,Verified,negative
116,YJR072C,Verified,transport
117,YDR047W,Verified,null
118,YKR039W,Verified,transport
119,YGL003C,Verified,null
120,YPL009C,Verified,protein
121,YDR268W,Verified,ion
122,YGL192W,Verified,ion
123,YDL117W,Verified,null
124,YMR131C,Verified,null
125,YMR293C,Verified,ion
126,YJL214W,Verified,transport
127,YIL105C,Verified,regulation
128,YML126C,Verified,null
129,YLR189C,Verified,metabolic process
130,YIL150C,Verified,repair
131,YLR349W,Dubious,biological_process
132,YGL250W,Verified,ion
133,YBR212W,Verified,ion
134,YJR109C,Verified,null
135,YLR254C,Verified,ion
136,YGR085C,Verified,ion
137,YPL105C,Verified,ion
138,YGR145W,Verified,ion
139,YGR110W,Verified,metabolic process
140,YKL177W,Dubious,biological_process
141,YGL154C,Verified,protein
142,YOR010C,Verified,null
143,YDL215C,Verified,metabolic process
144,YKL099C,Verified,null
145,YDR315C,Verified,catabolic process
146,YLR394W,Verified,ion
147,YNL104C,Verified,null
148,YNL151C,Verified,ion
149,YNR066C,Uncharacterized,biological_process
150,YLR220W,Verified,transport
151,YIL045W,Verified,regulation
152,YMR232W,Verified,ion
153,YNL083W,Verified,transport
154,YMR238W,Verified,null
155,YER168C,Verified,ion
156,YPL265W,Verified,transport
157,YOR227W,Verified,ion
158,YOR081C,Verified,ion
159,YEL026W,Verified,ion
160,YGR050C,Uncharacterized,biological_process
161,YDR021W,Verified,ion
162,YGL063W,Verified,null
163,YPL212C,Verified,null
164,YOL157C,Verified,catabolic process
165,YOR345C,Dubious,biological_process
166,YPR095C,Verified,protein
167,YOR310C,Verified,null
168,YDR188W,Verified,protein
169,YAL027W,Verified,repair
170,YGL236C,Verified,ion
171,YHR133C,Verified,null
172,YDR017C,Verified,regulation
173,YIL090W,Verified,ion
174,YBR183W,Verified,catabolic process
175,YOL048C,Verified,null
176,YCR007C,Uncharacterized,biological_process
177,YGR290W,Dubious,biological_process
178,YEL004W,Verified,transport
179,YPR057W,Verified,null
180,YLL032C,Verified,biological_process
181,YDR116C,Verified,ion
182,YDR299W,Verified,ion
183,YLR030W,Uncharacterized,biological_process
184,YDR122W,Verified,protein
185,YOL062C,Verified,transport
186,YNL234W,Verified,biological_process
187,YLR467W,Verified,ion
188,YJL194W,Verified,ion
189,YOL015W,Verified,biological_process
190,YDL070W,Verified,negative
191,YOR241W,Verified,metabolic process
192,YLR056W,Verified,null
193,YPR039W,Dubious,biological_process
194,YKL110C,Verified,ion
195,YBR280C,Verified,protein
196,YLR204W,Verified,null
197,YML097C,Verified,protein
198,YKR007W,Verified,ion
199,YDL096C,Dubious,biological_process
200,YHR193C,Dubious,protein
201,YBL099W,Verified,transport
202,YJR035W,Verified,histone
203,YOR126C,Verified,metabolic process
204,YMR023C,Verified,ion
205,YOR119C,Verified,ion
206,YNL187W,Verified,null
207,YMR141C,Uncharacterized,biological_process
208,YLL014W,Verified,protein
209,YBL062W,Dubious,biological_process
210,YCR061W,Uncharacterized,null
211,YOR199W,Dubious,biological_process
212,YPR115W,Verified,positive
213,YHR088W,Verified,ion
214,YBR017C,Verified,protein
215,YPR162C,Verified,ion
216,YGR166W,Verified,protein
217,YDL161W,Verified,ion
218,YKL050C,Verified,biological_process
219,YJR055W,Verified,ion
220,YGL099W,Verified,ion
221,YFL030W,Verified,ion
222,YIL119C,Verified,protein
223,YPL193W,Verified,null
224,YNL005C,Verified,ion
225,YGL217C,Dubious,biological_process
226,YJL144W,Verified,ion
227,YLR379W,Dubious,biological_process
