,gene,validation,localization
0,YAL008W,Verified,molecular_function
1,YBR255W,Verified,molecular_function
2,YGR164W,Dubious,molecular_function
3,YGR131W,Verified,molecular_function
4,YNL003C,Verified,transmembrane
5,YBR135W,Verified,kinase
6,YBR160W,Verified,RNA polymerase
7,YJL082W,Verified,molecular_function
8,YJL142C,Dubious,molecular_function
9,YPL191C,Verified,molecular_function
10,YGL215W,Verified,kinase
11,YKL074C,Verified,null
12,YJL077C,Verified,molecular_function
13,YIL124W,Verified,null
14,YPL039W,Uncharacterized,molecular_function
15,YNL170W,Dubious,molecular_function
16,YGL141W,Verified,null
17,YJL179W,Verified,null
18,YKL083W,Dubious,molecular_function
19,YOR009W,Verified,molecular_function
20,YKL029C,Verified,null
21,YPL166W,Verified,molecular_function
22,YKL052C,Verified,null
23,YHR025W,Verified,kinase
24,YOL034W,Verified,damage
25,YBL008W,Verified,transcription
26,YIL062C,Verified,null
27,YCL023C,Dubious,molecular_function
28,YOL116W,Verified,null
29,YDR196C,Verified,kinase
30,YNL255C,Verified,null
31,YNR032W,Verified,null
32,YNR045W,Verified,null
33,YML105C,Verified,null
34,YNL288W,Verified,molecular_function
35,YIL059C,Dubious,molecular_function
36,YIL004C,Verified,receptor
37,YNR018W,Verified,molecular_function
38,YPL144W,Verified,molecular_function
39,YFR047C,Verified,null
40,YHR078W,Uncharacterized,molecular_function
41,YJR115W,Uncharacterized,molecular_function
42,YLR355C,Verified,null
43,YGR099W,Verified,null
44,YLR300W,Verified,null
45,YBL003C,Verified,null
46,YJR140C,Verified,transcription
47,YOR033C,Verified,exonuclease activity
48,YOR062C,Uncharacterized,molecular_function
49,YBR043C,Verified,transmembrane
50,YHR112C,Verified,null
51,YLR011W,Verified,dehydrogenase
52,YHR007C,Uncharacterized,null
53,YKR103W,Verified,null
54,YKR084C,Verified,null
55,YER121W,Uncharacterized,molecular_function
56,YCR046C,Verified,null
57,YNL144C,Uncharacterized,molecular_function
58,YKL204W,Verified,null
59,YOR266W,Verified,molecular_function
60,YDR393W,Verified,molecular_function
61,YGL171W,Verified,ATP
62,YPR194C,Verified,transporter
63,YGR019W,Verified,null
64,YNL208W,Verified,molecular_function
65,YJL188C,Dubious,molecular_function
66,YLL057C,Verified,null
67,YBR296C,Uncharacterized,null
68,YNL277W,Verified,null
69,YMR040W,Verified,molecular_function
70,YDR077W,Verified,null
71,YMR266W,Verified,molecular_function
72,YKR064W,Verified,transcription
73,YPL089C,Verified,transcription
74,YGR277C,Verified,null
75,YDL139C,Verified,null
76,YDR246W,Uncharacterized,null
77,YOR288C,Verified,null
78,YCR028C,Verified,transmembrane
79,YML054C,Uncharacterized,dehydrogenase
80,YLR179C,Verified,molecular_function
81,YOR141C,Verified,ATP
82,YPL280W,Verified,peptidase
83,YBL106C,Verified,molecular_function
84,YGL044C,Verified,null
85,YER107C,Verified,molecular_function
86,YBR038W,Verified,null
87,YGR259C,Dubious,molecular_function
88,YEL047C,Verified,NADH
89,YPR016C,Verified,null
90,YLR157C,Uncharacterized,null
91,YDL055C,Verified,null
92,YML009C,Verified,null
93,YML072C,Verified,null
94,YDR142C,Verified,null
95,YFL044C,Verified,null
96,YKL019W,Verified,null
97,YJL130C,Verified,null
98,YBL085W,Verified,null
99,YBR116C,Dubious,molecular_function
100,YDR166C,Verified,molecular_function
101,YDR082W,Verified,null
102,YDR348C,Verified,null
103,YKL182W,Verified,ADP
104,YDR333C,Verified,molecular_function
105,YPL027W,Verified,molecular_function
106,YIR012W,Verified,null
107,YLR363C,Verified,molecular_function
108,YDR179C,Verified,molecular_function
109,YML089C,Dubious,molecular_function
110,YLR431C,Verified,molecular_function
111,YKR046C,Verified,molecular_function
112,YJR005W,Verified,null
113,YJL116C,Verified,molecular_function
114,YER030W,Verified,histone
115,YHR041C,Verified,transcription
116,YJR072C,Verified,ATP
117,YDR047W,Verified,null
118,YKR039W,Verified,transmembrane
119,YGL003C,Verified,null
120,YPL009C,Verified,tRNA
121,YDR268W,Verified,tRNA
122,YGL192W,Verified,null
123,YDL117W,Verified,null
124,YMR131C,Verified,null
125,YMR293C,Verified,tRNA
126,YJL214W,Verified,transmembrane
127,YIL105C,Verified,null
128,YML126C,Verified,null
129,YLR189C,Verified,null
130,YIL150C,Verified,null
131,YLR349W,Dubious,molecular_function
132,YGL250W,Verified,molecular_function
133,YBR212W,Verified,null
134,YJR109C,Verified,null
135,YLR254C,Verified,null
136,YGR085C,Verified,null
137,YPL105C,Verified,molecular_function
138,YGR145W,Verified,molecular_function
139,YGR110W,Verified,null
140,YKL177W,Dubious,molecular_function
141,YGL154C,Verified,null
142,YOR010C,Verified,molecular_function
143,YDL215C,Verified,NAD+
144,YKL099C,Verified,molecular_function
145,YDR315C,Verified,kinase
146,YLR394W,Verified,null
147,YNL104C,Verified,null
148,YNL151C,Verified,RNA polymerase
149,YNR066C,Uncharacterized,molecular_function
150,YLR220W,Verified,transmembrane
151,YIL045W,Verified,null
152,YMR232W,Verified,molecular_function
153,YNL083W,Verified,ADP
154,YMR238W,Verified,molecular_function
155,YER168C,Verified,tRNA
156,YPL265W,Verified,transmembrane
157,YOR227W,Verified,molecular_function
158,YOR081C,Verified,null
159,YEL026W,Verified,snRNA binding
160,YGR050C,Uncharacterized,molecular_function
161,YDR021W,Verified,ATP
162,YGL063W,Verified,null
