,gene,validation,localization
0,YAL008W,Verified,membrane
1,YBR255W,Verified,null
2,YGR164W,Dubious,cellular_component
3,YGR131W,Verified,membrane
4,YNL003C,Verified,mitochond
5,YBR135W,Verified,null
6,YBR160W,Verified,nucle
7,YJL082W,Verified,null
8,YJL142C,Dubious,null
9,YPL191C,Verified,null
10,YGL215W,Verified,null
11,YKL074C,Verified,null
12,YJL077C,Verified,cellular_component
13,YIL124W,Verified,endoplasm
14,YPL039W,Uncharacterized,cellular_component
15,YNL170W,Dubious,cellular_component
16,YGL141W,Verified,null
17,YJL179W,Verified,null
18,YKL083W,Dubious,null
19,YOR009W,Verified,null
20,YKL029C,Verified,mitochond
21,YPL166W,Verified,null
22,YKL052C,Verified,null
23,YHR025W,Verified,cellular_component
24,YOL034W,Verified,nucle
25,YBL008W,Verified,nucle
26,YIL062C,Verified,membrane
27,YCL023C,Dubious,cellular_component
28,YOL116W,Verified,nucle
29,YDR196C,Verified,null
30,YNL255C,Verified,cytoplasm
31,YNR032W,Verified,null
32,YNR045W,Verified,membrane
33,YML105C,Verified,endoplasm
34,YNL288W,Verified,null
35,YIL059C,Dubious,cellular_component
36,YIL004C,Verified,membrane
37,YNR018W,Verified,membrane
38,YPL144W,Verified,null
39,YFR047C,Verified,null
40,YHR078W,Uncharacterized,null
41,YJR115W,Uncharacterized,cellular_component
42,YLR355C,Verified,mitochond
43,YGR099W,Verified,nucle
44,YLR300W,Verified,extracellular
45,YBL003C,Verified,nucle
46,YJR140C,Verified,nucle
47,YOR033C,Verified,nucle
48,YOR062C,Uncharacterized,null
49,YBR043C,Verified,membrane
50,YHR112C,Verified,nucle
51,YLR011W,Verified,nucle
52,YHR007C,Uncharacterized,endoplasm
53,YKR103W,Verified,null
54,YKR084C,Verified,null
55,YER121W,Uncharacterized,cellular_component
56,YCR046C,Verified,mitochond
57,YNL144C,Uncharacterized,null
58,YKL204W,Verified,cytoplasm
59,YOR266W,Verified,membrane
60,YDR393W,Verified,membrane
61,YGL171W,Verified,nucle
62,YPR194C,Verified,membrane
63,YGR019W,Verified,cytosol
64,YNL208W,Verified,null
65,YJL188C,Dubious,cellular_component
66,YLL057C,Verified,cellular_component
67,YBR296C,Uncharacterized,membrane
68,YNL277W,Verified,null
